feature,importance_mean,importance_std
GenHlth,0.0540067515737082,0.0034728937471372387
BMI,0.03605615576050365,0.000860376544344394
Age,0.030068083735909946,0.0027400189546182533
HighBP,0.020313470941297117,0.0014916390035715822
HighChol,0.011668856682769846,0.000383478469284763
Income,0.004708429219733645,0.0003790262086272679
CholCheck,0.003808069096764899,0.0006483725716381692
HvyAlcoholConsump,0.003183528033962868,0.0006903368152208659
Sex,0.0030455335968380347,0.00042085727951329533
HeartDiseaseorAttack,0.0011176870150784168,0.0006208888144096118
MentHlth,0.00043344751866498666,0.0002836504688232855
DiffWalk,0.00039270970575333575,0.0004519445245563929
Smoker,0.00024969696969712185,7.732476712892825e-05
Education,0.00022675450153724074,0.0001338319032197284
PhysHlth,0.0002061250182990193,0.00013830000116489094
AnyHealthcare,0.00018485726833556982,7.89845624860598e-05
Stroke,0.00014149612062661632,0.00031620644631904295
NoDocbcCost,0.0001060811008637641,3.300348501580467e-05
Veggies,8.880690967656424e-05,5.097741428092503e-05
Fruits,2.5220319133434366e-05,4.5047210718140505e-05
PhysActivity,-6.563607085334766e-05,7.852615225038365e-05
